#1
#SLP with Hamburg TMY, scaled to 10 MWh yearly demand	
double default(8761,2)	
4561200	2901.43519
4564800	2930.39163
4568400	2924.60034
4572000	2808.77459
4575600	2490.25376
4579200	1789.50793
4582800	1424.6568
4586400	1600.19977
4590000	1624.6303
4593600	1673.49136
4597200	1765.10585
4600800	2033.84169
4604400	2626.28206
4608000	3365.30562
4611600	3114.89268
4615200	3035.49345
4618800	2943.87896
4622400	2852.26447
4626000	2724.00419
4629600	2681.25076
4633200	2656.82023
4636800	2736.21945
4640400	2785.08051
4644000	2937.77133
4647600	2986.63239
4651200	2998.84766
4654800	2956.09423
4658400	2846.15684
4662000	2528.55994
4665600	1942.2272
4669200	1661.2761
4672800	1600.00808
4676400	1624.43568
4680000	1673.29089
4683600	1764.89441
4687200	2033.59805
4690800	2625.96746
4694400	3364.90249
4698000	3114.51954
4701600	3035.12983
4705200	2943.52631
4708800	2851.9228
4712400	2723.67787
4716000	2680.92957
4719600	2656.50196
4723200	2735.89168
4726800	2784.74688
4730400	2937.41941
4734000	2986.27462
4737600	2998.48842
4741200	2955.74011
4744800	2845.81589
4748400	2528.25704
4752000	1941.99454
4755600	1661.07709
4759200	1686.3631
4762800	1712.1091
4766400	1763.60111
4770000	1860.14861
4773600	2143.35463
4777200	2767.69517
4780800	3546.51171
4784400	3282.6152
4788000	3198.94069
4791600	3102.39319
4795200	3005.84568
4798800	2870.67917
4802400	2825.62367
4806000	2799.87767
4809600	2883.55217
4813200	2935.04418
4816800	3095.95669
4820400	3147.44869
4824000	3160.32169
4827600	3115.26619
4831200	2999.40918
4834800	2664.71116
4838400	2046.80712
4842000	1750.72811
4845600	1640.97108
4849200	1666.02407
4852800	1716.13006
4856400	1810.07878
4860000	2085.66171
4863600	2693.1968
4867200	3451.04986
4870800	3194.25667
4874400	3112.83445
4878000	3018.88572
4881600	2924.93699
4885200	2793.40878
4888800	2749.56604
4892400	2724.51305
4896000	2805.93527
4899600	2856.04126
4903200	3012.62247
4906800	3062.72846
4910400	3075.25496
4914000	3031.41222
4917600	2918.67375
4921200	2592.98483
4924800	1991.71299
4928400	1703.60356
4932000	1478.46646
4935600	1523.46326
4939200	1562.03195
4942800	1684.16614
4946400	2005.57189
4950000	2886.22365
4953600	3709.02238
4957200	3451.89778
4960800	3278.33867
4964400	3136.92014
4968000	2989.07349
4971600	2879.79554
4975200	2815.51439
4978800	2809.08627
4982400	2866.93931
4986000	2944.07669
4989600	3091.92333
4993200	3220.48564
4996800	3252.62621
5000400	3246.1981
5004000	3117.63579
5007600	2764.08947
5011200	1986.28755
5014800	1581.3163
5018400	1268.45919
